"state","dem_amount","rep_amount","year"
"CA",203667038,58322840,2020
"NY",103431718,27321209,2020
"MA",47531561,6870171,2020
"TX",45254436,52529818,2020
"WA",42306635,9952453,2020
"FL",42263907,48863582,2020
"IL",34836283,11896482,2020
"PA",31180291,13599977,2020
"VA",30892250,11169535,2020
"MD",30842477,6522444,2020
"NJ",27208044,11186616,2020
"DC",25937217,921550,2020
"CO",23369022,10027340,2020
"NC",16968805,12830434,2020
"OR",16750085,5558207,2020
"MN",15837285,5956722,2020
"OH",15819258,13677128,2020
"CT",15734514,4049114,2020
"MI",15572989,12004907,2020
"GA",15095709,15114695,2020
"AZ",11709399,13935292,2020
"WI",8627638,5513508,2020
"TN",8525038,9267154,2020
"IN",7897140,6858953,2020
"MO",7839295,6919783,2020
"NM",5878854,3511774,2020
"SC",5851316,6720302,2020
"NV",5723322,7213735,2020
"NH",5216498,2077184,2020
"DE",4780345,1134756,2020
"IA",4309116,2884152,2020
"UT",3988191,3143246,2020
"ME",3898580,1152535,2020
"LA",3865570,6535429,2020
"KY",3777358,4109069,2020
"VT",3590828,370152,2020
"RI",3438515,796979,2020
"HI",3382948,1668673,2020
"AL",3344226,6132454,2020
"OK",3336004,5999531,2020
"KS",3099176,3865162,2020
"ID",2573720,3029541,2020
"AR",2541170,2960607,2020
"MT",2190007,2171546,2020
"NE",1829885,2235786,2020
"AK",1737520,1619880,2020
"WV",1267615,1465379,2020
"WY",1239565,1395239,2020
"MS",1108240,3174453,2020
"SD",854653,1260988,2020
"ND",508989,1221723,2020
"CA",114485560,36453786,2016
"NY",73221182,17513009,2016
"MA",26409930,4688091,2016
"TX",26331445,49070876,2016
"FL",25519391,32225392,2016
"MD",19723304,4612924,2016
"IL",19701510,8504586,2016
"WA",18489510,5586867,2016
"DC",18416054,2007230,2016
"VA",18284486,10085853,2016
"PA",15349076,9698602,2016
"NJ",14469743,10368438,2016
"CO",10990766,5902548,2016
"CT",9690269,4244105,2016
"MI",8610223,7428274,2016
"NC",8409946,7162445,2016
"GA",8178681,9376105,2016
"OH",8175206,11731124,2016
"OR",7882339,2566984,2016
"MN",6753266,3267721,2016
"AZ",6009453,6631929,2016
"MO",5244030,4572118,2016
"TN",4609846,6499342,2016
"WI",4140475,4245120,2016
"NM",3678804,1605877,2016
"IN",3396218,4286122,2016
"VT",3379976,297492,2016
"NV",3029864,3528822,2016
"SC",2793941,5595078,2016
"AR",2729718,2356433,2016
"NH",2682258,1383334,2016
"OK",2529075,3978000,2016
"ME",2517040,731918,2016
"IA",2445793,2326484,2016
"LA",2342054,5110288,2016
"KY",2311397,2622118,2016
"AL",2191798,4214093,2016
"RI",2132277,445911,2016
"UT",1799371,2014960,2016
"KS",1795051,2245207,2016
"HI",1765520,712631,2016
"NE",1183410,1261768,2016
"DE",968819,569740,2016
"AK",959980,783998,2016
"ID",914712,1421100,2016
"WV",871258,918101,2016
"MT",870148,1193385,2016
"MS",751481,2296604,2016
"WY",569261,1089820,2016
"SD",519895,687402,2016
"ND",318967,557231,2016
