"Geography","Year","value"
"Alabama","2020",5.99166666666667
"Alabama","2016",5.90833333333333
"Alaska","2020",8.61111111111111
"Alaska","2016",6.78055555555556
"Arizona","2020",7.28888888888889
"Arizona","2016",5.55
"Arkansas","2020",6.35
"Arkansas","2016",4.21388888888889
"California","2020",9.675
"California","2016",5.64722222222222
"Colorado","2020",6.25555555555556
"Colorado","2016",3.47222222222222
"Connecticut","2020",6.77222222222222
"Connecticut","2016",5.33055555555556
"Delaware","2020",8.36111111111111
"Delaware","2016",4.58611111111111
"District of Columbia","2020",7.55
"District of Columbia","2016",6.27222222222222
"Florida","2020",7.38611111111111
"Florida","2016",4.96111111111111
"Georgia","2020",6.08888888888889
"Georgia","2016",5.5
"Hawaii","2020",10.7861111111111
"Hawaii","2016",3.09444444444444
"Idaho","2020",5.09722222222222
"Idaho","2016",3.88888888888889
"Illinois","2020",9.13333333333333
"Illinois","2016",5.89722222222222
"Indiana","2020",7.00833333333333
"Indiana","2016",4.55
"Iowa","2020",5.62777777777778
"Iowa","2016",3.675
"Kansas","2020",5.95
"Kansas","2016",4.06111111111111
"Kentucky","2020",6.45
"Kentucky","2016",5.13055555555556
"Louisiana","2020",8.20833333333333
"Louisiana","2016",6.11666666666667
"Maine","2020",6.02222222222222
"Maine","2016",3.90277777777778
"Maryland","2020",6.24722222222222
"Maryland","2016",4.57222222222222
"Massachusetts","2020",9.52222222222222
"Massachusetts","2016",4.08333333333333
"Michigan","2020",9.55555555555556
"Michigan","2016",5.04722222222222
"Minnesota","2020",5.91944444444444
"Minnesota","2016",3.81388888888889
"Mississippi","2020",7.93055555555556
"Mississippi","2016",5.97222222222222
"Missouri","2020",5.85
"Missouri","2016",4.69166666666667
"Montana","2020",5.76111111111111
"Montana","2016",4.16666666666667
"Nebraska","2020",4.31111111111111
"Nebraska","2016",3.06111111111111
"Nevada","2020",12.0777777777778
"Nevada","2016",5.98333333333333
"New Hampshire","2020",6.82777777777778
"New Hampshire","2016",2.97777777777778
"New Jersey","2020",9.1
"New Jersey","2016",5.16944444444444
"New Mexico","2020",8.26666666666667
"New Mexico","2016",6.60555555555556
"New York","2020",9.64166666666667
"New York","2016",4.93888888888889
"North Carolina","2020",6.83888888888889
"North Carolina","2016",5.21944444444444
"North Dakota","2020",4.86944444444444
"North Dakota","2016",3.06388888888889
"Ohio","2020",8.27222222222222
"Ohio","2016",4.97222222222222
"Oklahoma","2020",6.16666666666667
"Oklahoma","2016",4.74166666666667
"Oregon","2020",7.85833333333333
"Oregon","2016",5.05833333333333
"Pennsylvania","2020",8.95555555555556
"Pennsylvania","2016",5.375
"Rhode Island","2020",9.30555555555556
"Rhode Island","2016",5.43333333333333
"South Carolina","2020",6.18888888888889
"South Carolina","2016",5.275
"South Dakota","2020",5.36944444444444
"South Dakota","2016",2.98333333333333
"Tennessee","2020",7.14166666666667
"Tennessee","2016",4.92222222222222
"Texas","2020",7.01666666666667
"Texas","2016",4.56666666666667
"Utah","2020",4.65555555555556
"Utah","2016",3.50555555555556
"Vermont","2020",6.18888888888889
"Vermont","2016",3.30833333333333
"Virginia","2020",5.76666666666667
"Virginia","2016",4.16111111111111
"Washington","2020",8.13888888888889
"Washington","2016",5.38888888888889
"West Virginia","2020",8.43888888888889
"West Virginia","2016",6.30555555555556
"Wisconsin","2020",6.36111111111111
"Wisconsin","2016",4.14444444444444
"Wyoming","2020",5.9
"Wyoming","2016",5.2
