state_fips,state,county,stname,ctyname,fips,congress_district
23,Maine,001,Maine,Androscoggin County,23001,CD-2
23,Maine,003,Maine,Aroostook County,23003,CD-2
23,Maine,005,Maine,Cumberland County,23005,CD-1
23,Maine,007,Maine,Franklin County,23007,CD-2
23,Maine,009,Maine,Hancock County,23009,CD-2
23,Maine,011,Maine,Kennebec County,23011,CD-1
23,Maine,013,Maine,Knox County,23013,CD-1
23,Maine,015,Maine,Lincoln County,23015,CD-1
23,Maine,017,Maine,Oxford County,23017,CD-2
23,Maine,019,Maine,Penobscot County,23019,CD-2
23,Maine,021,Maine,Piscataquis County,23021,CD-2
23,Maine,023,Maine,Sagadahoc County,23023,CD-1
23,Maine,025,Maine,Somerset County,23025,CD-2
23,Maine,027,Maine,Waldo County,23027,CD-2
23,Maine,029,Maine,Washington County,23029,CD-2
23,Maine,031,Maine,York County,23031,CD-1
31,Nebraska,001,Nebraska,Adams County,31001,CD-3
31,Nebraska,003,Nebraska,Antelope County,31003,CD-3
31,Nebraska,005,Nebraska,Arthur County,31005,CD-3
31,Nebraska,007,Nebraska,Banner County,31007,CD-3
31,Nebraska,009,Nebraska,Blaine County,31009,CD-3
31,Nebraska,011,Nebraska,Boone County,31011,CD-3
31,Nebraska,013,Nebraska,Box Butte County,31013,CD-3
31,Nebraska,015,Nebraska,Boyd County,31015,CD-3
31,Nebraska,017,Nebraska,Brown County,31017,CD-3
31,Nebraska,019,Nebraska,Buffalo County,31019,CD-3
31,Nebraska,021,Nebraska,Burt County,31021,CD-1
31,Nebraska,023,Nebraska,Butler County,31023,CD-1
31,Nebraska,025,Nebraska,Cass County,31025,CD-1
31,Nebraska,027,Nebraska,Cedar County,31027,CD-3
31,Nebraska,029,Nebraska,Chase County,31029,CD-3
31,Nebraska,031,Nebraska,Cherry County,31031,CD-3
31,Nebraska,033,Nebraska,Cheyenne County,31033,CD-3
31,Nebraska,035,Nebraska,Clay County,31035,CD-3
31,Nebraska,037,Nebraska,Colfax County,31037,CD-1
31,Nebraska,039,Nebraska,Cuming County,31039,CD-1
31,Nebraska,041,Nebraska,Custer County,31041,CD-3
31,Nebraska,043,Nebraska,Dakota County,31043,CD-3
31,Nebraska,045,Nebraska,Dawes County,31045,CD-3
31,Nebraska,047,Nebraska,Dawson County,31047,CD-3
31,Nebraska,049,Nebraska,Deuel County,31049,CD-3
31,Nebraska,051,Nebraska,Dixon County,31051,CD-1
31,Nebraska,053,Nebraska,Dodge County,31053,CD-1
31,Nebraska,055,Nebraska,Douglas County,31055,CD-2
31,Nebraska,057,Nebraska,Dundy County,31057,CD-3
31,Nebraska,059,Nebraska,Fillmore County,31059,CD-3
31,Nebraska,061,Nebraska,Franklin County,31061,CD-3
31,Nebraska,063,Nebraska,Frontier County,31063,CD-3
31,Nebraska,065,Nebraska,Furnas County,31065,CD-3
31,Nebraska,067,Nebraska,Gage County,31067,CD-3
31,Nebraska,069,Nebraska,Garden County,31069,CD-3
31,Nebraska,071,Nebraska,Garfield County,31071,CD-3
31,Nebraska,073,Nebraska,Gosper County,31073,CD-3
31,Nebraska,075,Nebraska,Grant County,31075,CD-3
31,Nebraska,077,Nebraska,Greeley County,31077,CD-3
31,Nebraska,079,Nebraska,Hall County,31079,CD-3
31,Nebraska,081,Nebraska,Hamilton County,31081,CD-3
31,Nebraska,083,Nebraska,Harlan County,31083,CD-3
31,Nebraska,085,Nebraska,Hayes County,31085,CD-3
31,Nebraska,087,Nebraska,Hitchcock County,31087,CD-3
31,Nebraska,089,Nebraska,Holt County,31089,CD-3
31,Nebraska,091,Nebraska,Hooker County,31091,CD-3
31,Nebraska,093,Nebraska,Howard County,31093,CD-3
31,Nebraska,095,Nebraska,Jefferson County,31095,CD-3
31,Nebraska,097,Nebraska,Johnson County,31097,CD-3
31,Nebraska,099,Nebraska,Kearney County,31099,CD-3
31,Nebraska,101,Nebraska,Keith County,31101,CD-3
31,Nebraska,103,Nebraska,Keya Paha County,31103,CD-3
31,Nebraska,105,Nebraska,Kimball County,31105,CD-3
31,Nebraska,107,Nebraska,Knox County,31107,CD-3
31,Nebraska,109,Nebraska,Lancaster County,31109,CD-1
31,Nebraska,111,Nebraska,Lincoln County,31111,CD-3
31,Nebraska,113,Nebraska,Logan County,31113,CD-3
31,Nebraska,115,Nebraska,Loup County,31115,CD-3
31,Nebraska,117,Nebraska,McPherson County,31117,CD-3
31,Nebraska,119,Nebraska,Madison County,31119,CD-1
31,Nebraska,121,Nebraska,Merrick County,31121,CD-1
31,Nebraska,123,Nebraska,Morrill County,31123,CD-3
31,Nebraska,125,Nebraska,Nance County,31125,CD-3
31,Nebraska,127,Nebraska,Nemaha County,31127,CD-3
31,Nebraska,129,Nebraska,Nuckolls County,31129,CD-3
31,Nebraska,131,Nebraska,Otoe County,31131,CD-1
31,Nebraska,133,Nebraska,Pawnee County,31133,CD-3
31,Nebraska,135,Nebraska,Perkins County,31135,CD-3
31,Nebraska,137,Nebraska,Phelps County,31137,CD-3
31,Nebraska,139,Nebraska,Pierce County,31139,CD-3
31,Nebraska,141,Nebraska,Platte County,31141,CD-1
31,Nebraska,143,Nebraska,Polk County,31143,CD-1
31,Nebraska,145,Nebraska,Red Willow County,31145,CD-3
31,Nebraska,147,Nebraska,Richardson County,31147,CD-3
31,Nebraska,149,Nebraska,Rock County,31149,CD-3
31,Nebraska,151,Nebraska,Saline County,31151,CD-3
31,Nebraska,153,Nebraska,Sarpy County,31153,CD-1
31,Nebraska,155,Nebraska,Saunders County,31155,CD-1
31,Nebraska,157,Nebraska,Scotts Bluff County,31157,CD-3
31,Nebraska,159,Nebraska,Seward County,31159,CD-1
31,Nebraska,161,Nebraska,Sheridan County,31161,CD-3
31,Nebraska,163,Nebraska,Sherman County,31163,CD-3
31,Nebraska,165,Nebraska,Sioux County,31165,CD-3
31,Nebraska,167,Nebraska,Stanton County,31167,CD-1
31,Nebraska,169,Nebraska,Thayer County,31169,CD-3
31,Nebraska,171,Nebraska,Thomas County,31171,CD-3
31,Nebraska,173,Nebraska,Thurston County,31173,CD-1
31,Nebraska,175,Nebraska,Valley County,31175,CD-3
31,Nebraska,177,Nebraska,Washington County,31177,CD-1
31,Nebraska,179,Nebraska,Wayne County,31179,CD-3
31,Nebraska,181,Nebraska,Webster County,31181,CD-3
31,Nebraska,183,Nebraska,Wheeler County,31183,CD-3
31,Nebraska,185,Nebraska,York County,31185,CD-3
